경기 날짜,팀1 이름,팀2 이름,팀1 세트 스코어,팀2 세트 스코어,팀1 1세트 점수,팀1 2세트 점수,팀1 3세트 점수,팀1 4세트 점수,팀1 5세트 점수,팀2 1세트 점수,팀2 2세트 점수,팀2 3세트 점수,팀2 4세트 점수,팀2 5세트 점수
20130101,삼성화재,현대캐피탈,3,0,25,25,25,-,-,15,21,20,-,-
20130101,KGC인삼공사,도로공사,2,3,19,27,25,25,8,25,29,23,19,15
20130102,IBK기업은행,현대건설,3,0,25,25,25,-,-,21,16,17,-,-
20130102,드림식스,KEPCO,3,0,25,25,25,-,-,22,15,19,-,-
