title,description,pubDate
"[창원24시] 창원시, 창원형 공공 배달앱 이름 공모","정현섭 경제일자리국장은 ""소상공인의 배달앱 수수료·광고비 절감과 코로나19로 인해 계속되는 부담을 경감시키고자 창원형 공공 배달앱을 준비하고 있다""며 ""네이밍 공모전에 많은 시민이 참여해 창원을 대표하는...","Fri, 04 Feb 2022 15:36:00 +0900"
"코자총, 거리두기 연장에 폭발…삭발식 등 단체 행동 예고",한국외식업중앙회 등 10개 소상공인 단체로 구성된 '코로나 피해 자영업 총연대(코자총)'는 이날 정부의 사회적 거리두기 2주 연장 조치에 즉각 회의를 소집해 추가 단체행동에 나설 것을 결의했다고 밝혔다. 코자총은...,"Fri, 04 Feb 2022 15:35:00 +0900"
평창 코로나19 확진자 11명(385~395번) 발생,"서울거주 6세 남아(386번)도 선행 확진된 엄마와 접촉해 확진됐다. 평창 70대 여성(387번)은 선행 확진된 손녀딸과 접촉해 감염됐다. 이날 확진된 평창지역 거주 30대 여성(388번)과 7세 남아(389번), 9새 여학생(390번)은...","Fri, 04 Feb 2022 15:35:00 +0900"
"울산 중구, 야간에도 세무민원 상담실 운영",또 코로나19 등으로 경제적 어려움을 겪고 있는 생계형 납세자를 대상으로 징수 유예 및 분납 유도 등 재정상황을 고려한 맞춤형 징수 활동도 펼칠 계획이다. 한편 중구는 지난해 코로나19로 인한 경기 침체 등 어려운...,"Fri, 04 Feb 2022 15:35:00 +0900"
"[창녕24시] 창녕군, 미세먼지 대응 배출가스 저감 추진","창녕군은 코로나19로 인한 장기간의 휴관 기간을 활용해 전시‧체험 내용을 보강하고, 지난해 7월 재개관했다. 관람 시간은 오전 10시부터 오후 5시까지다. 매주 월요일(단, 공휴일이면 다음날) 휴관한다. 한정우 군수는...","Fri, 04 Feb 2022 15:35:00 +0900"
"닥터나우, 서울 코로나 진료소 정보제공 '코로나우' 운영",원격의료 플랫폼 닥터나우가 코로나 검사 체계가 개편에 맞춰 서울시 코로나 선별 진료소 정보확인 서비스 '코로나우'를 운영한다고 4일 밝혔다. 그동안 각 지자체에서는 선별진료소 운영 정보를 공개해왔으나 이용자가 각...,"Fri, 04 Feb 2022 15:35:00 +0900"
"오미크론에 역학조사 사실상 포기, 다음주부터 확진자 스스로 기입해야",오는 7일부터 코로나19(COVID-19) 역학조사 방식이 바뀐다. 확진 판정을 받은 사람은 스마트폰에 본인의 동선을... 앞으로는 코로나19 확진 판정을 받으면 보건소와 유선 통화로 확진 사실과 주의사항을 안내받게 된다. 이후...,"Fri, 04 Feb 2022 15:35:00 +0900"
"[대구24시] ""조용한 살인마 '이산화탄소 소화설비' 의무설치 법 개정 시급""","대구시는 ""지난달 3주차부터 오미크론 변이로 인한 코로나19 확진자수가 급격히 증가해 오미크론 국내 검출률이 매주 2배씩 늘어나는 등 향후 상당기간 확진자수가 계속 늘어날 것""이라며 이같이 밝혔다. 이어 ""설 연휴...","Fri, 04 Feb 2022 15:35:00 +0900"
재택치료 10만명대…역학조사 간소화하고 ‘먹는 치료제’ 50대에도 처방,코로나19 신규 확진 규모가 연일 2만명대를 기록하면서 재택치료 환자가 10만명을 넘어섰다. 정부는 경증... 동네 병·의원 2300여곳이 코로나19 검사·진료에 참여하기로 신청한 가운데 검사비 유료 적용 논란 등 체계 전환...,"Fri, 04 Feb 2022 15:35:00 +0900"
"위성곤, 6년째 '국감 우수 국회의원' 선정","위 의원은 올해 국정감사에서 코로나 시대 농어업의 중요성을 강조하며, 수입에 지나치게 의존하고 있는 국내 농수산물 수급정책의 문제점을 집중적으로 파헤쳤다는 평가를 받았다.","Fri, 04 Feb 2022 15:34:00 +0900"
"[기업사회활동] 바디프랜드, 설 명절 안마의자•직접 만든 음식 전달로 이웃사...","명절마다 보육생과 교사들을 위해 식사를 제공해오고 있었으나, 신종 코로나바이러스 감염증(코로나19) 사태로 사회적 거리두기가 강화되고 있는 만큼 식재료를 전달하는 것으로 대체했다. 전달식은 코로나19...","Fri, 04 Feb 2022 15:34:00 +0900"
"의성슈퍼푸드마늘축제, 경상북도 지정축제 선정",2018년 의성 마늘의 우수성 홍보를 위해 시작된 의성슈퍼푸드마늘축제는 지난해 코로나19로 인해 온라인 축제를 추진하며 축제의 새로운 지평을 열었다. 의성슈퍼푸드마늘축제는 코로나로부터 안전하며 전국적인 홍보...,"Fri, 04 Feb 2022 15:34:00 +0900"
"신천지 자원봉사단 강릉지부, 남대천 환경정화 '봉사활동'","한편 신천지 자원봉사단은 환경정화 봉사 외에도 코로나 극복 희망 프로젝트의 일환으로 꾸준히 방역 봉사를 했으며, '착한 기부 착한 소비 캠페인'으로 관내 소상공인 살리기와 취약계층 돕기를 동시 진행했다. 또한...","Fri, 04 Feb 2022 15:34:00 +0900"
"성주군, 오미크론과의 마지막 전쟁을 선포하다","▲ 성주군, 오미크론과의 마지막 전쟁을 선포하다  성주군은 코로나19 확진자가 전국 2만7천명대를 넘어서는... 코로나19 완전 종식을 위한 특별방역대책은 크게 4가지이다. 집단감염의 위험이 높은 고위험시설...","Fri, 04 Feb 2022 15:34:00 +0900"
부평구 다목적실내체육관 증축공사 준공,구는 코로나19 확산에 따라 당초 개최 예정이었던 준공식 행사를 취소하고 이날 점검으로 대체했다. 구는 국가균형발전 특별회계 등 사업비 8억4천만 원을 투입해 다목적실내체육관 지상 2층 총 304㎡를 증축했다. 이번...,"Fri, 04 Feb 2022 15:34:00 +0900"
미술관 옆 상점들…울산시립미술관 방문객에 특별 혜택 제공,중구는 울산시립미술관 개관을 기념하는 동시에 코로나19로 인해 위축된 원도심 상권을 활성화하기 위해... 중구 관계자는 “이번 소비촉진 행사를 통해 코로나19 장기화와 경기 침체로 지친 시민들이 중구 원도심에서...,"Fri, 04 Feb 2022 15:34:00 +0900"
전현무 측 “자가키트서 양성…PCR 검사결과 대기중” [공식],"방송인 전현무가 코로나19 PCR 검사 결과를 기다리는 중이다. 소속사 SM C&amp;C 측은 4일 스포츠경향에 “전현무가 코로나19 자가키트 검사에서 양성 반응이 나왔다”며 “코로나19 PCR 검사를 했고, 결과를 기다리고 있다”...","Fri, 04 Feb 2022 15:34:00 +0900"
"식약처, ""'자가검사키트' 유통관리 철저히 진행한다""",식품의약품안전처(처장 김강립)는 코로나19 자가검사키트의 안정적 공급을 위해 공급·유통 관리와 현황에... 식약처는 지난 3일 공중보건 위기상황에 효과적으로 대비하기 위해 코로나19 항원검사시약(개인용·전문가용)를...,"Fri, 04 Feb 2022 15:34:00 +0900"
"LH, 올해 첫 혁신위 개최…""역대 최대 주택공급""","투자해, 코로나19로 침체된 지역경제와 건설 산업 활성화에 크게 기여할 것으로 기대하고 있다. 한편 LH는 올해 전문위원회와 전담조직을 신설하는 등 ESG 경영체계로 전환한다는 방침도 세웠다. 저탄소 녹색도시...","Fri, 04 Feb 2022 15:34:00 +0900"
"인천재능대, 글로벌 현장학습 교육 수료식","코로나19로 이전처럼 해외연수는 진행되지 못했지만, 온라인을 활용한 실시간 비대면 교육을 통해 어학교육과 현지직무교육, 조리직무교육 등을 진행했다. 특히 실습수업의 중요도가 높은 조리 교육을 위해...","Fri, 04 Feb 2022 15:34:00 +0900"
"대구시, 미래 신산업 이끌 중소기업 지역 청년 채용 돕는다",대구시는 포스트 코로나 시대 대응을 위해 신산업 분야 중소기업 대상으로 지역 청년 신규 채용 시 인건비를... 포스트 코로나 유망기술 보유기업과 4차산업 기반 언택트 산업 기업이 주요 지원 대상이다. '디지털 콘텐츠...,"Fri, 04 Feb 2022 15:34:00 +0900"
"[증권소식] 사학연금, 작년 수익률 11.95%/신한금투, 유튜브 채널 개편/직장인...","또한 기업금융 부문은 투자 기업들의 실적 개선과 해외 증시 호조 효과, 해외 실물 부문 역시 코로나19를 거쳐 실물시장의 충격에 고전하는 시기가 있었지만, 밸류애드(Value Added) 및 오퍼튜니스틱(Opportunistic)...","Fri, 04 Feb 2022 15:34:00 +0900"
"임창정, 코로나19로 지친 의료진들 위해 '노개런티' 공연 진행",가수 임창정이 코로나19로 지친 의료진을 위로하고자 따뜻한 마음을 전했다. 임창정은 4일 낮 12시 30분 인제대학교 서울백병원에서 코로나19 여파로 고생하는 의료진을 위해 스페셜 공연을 개최했다. 이번 공연에서...,"Fri, 04 Feb 2022 15:34:00 +0900"
"제주KAL호텔, '잔인한 4월' 보내고 48년 만에 영업 종료",앞서 KAL호텔네트워크는 신종 코로나바이러스 감염증 사태 이후 매출이 급감해 경영이 악화함에 따라 지난해 12월 23일 이사회를 열고 비유동자산 중 하나인 제주KAL호텔 처분을 결정했다. 매각 대상은 제주시...,"Fri, 04 Feb 2022 15:34:00 +0900"
'먹는 치료제' 누적 1275명 투약…7일부터 50대 기저질환자도 처방,7일부터 코로나19 먹는 치료제 투약 범위가 50대 기저질환자까지로 확대한다. 현재까지 먹는 치료제를 처방받은 환자는 총 1275명이다. 4일 질병관리청 중앙방역대책본부에 따르면 오는 7일부터 코로나19 먹는 치료제인...,"Fri, 04 Feb 2022 15:34:00 +0900"
"'4명 확진' 디알엑스, kt 전 긴급 콜업 불가피",그전에 디알엑스는 sns을 통해 '데프트' 김혁규를 제외한 4명의 선수가 코로나19 확진 판정을 받았다고 밝혔다. 4명이 확진 판정을 받으면서 디알엑스의 9일 경기는 제대로 치를 수 없을 것으로 보인다. '제카' 김건우는...,"Fri, 04 Feb 2022 15:34:00 +0900"
"野 ""이재명 가족의 서민 코스프레 민낯이 드러났다""","그는 ""이 후보 배우자는 소탈한 이미지를 내세웠지만, 알고 보니 집 근처 병원도 혼자 가지 않고 배 모 사무관을 수행시키고, 제보자가 미리 코로나 문진표까지 작성해 받아 둔 출입증을 받아 병원에 들어갔다""며 ""국민들...","Fri, 04 Feb 2022 15:34:00 +0900"
"임창정, 코로나19로 지친 의료진들 위해 노개런티 공연 진행",가수 임창정이 코로나19로 지친 의료진을 위로하고자 따뜻한 마음을 전했다. 임창정은 4일 낮 12시 30분 인제대학교 서울백병원에서 코로나19 여파로 고생하는 의료진을 위해 스페셜 공연을 개최했다. 이번 공연에서...,"Fri, 04 Feb 2022 15:34:00 +0900"
"오미크론 변이 확산...제약업계, 진단키트 공급 총력",국내 제약 기업들이 체외진단 의료기기 기업들과 손잡고 신종 코로나바이러스 감염증(코로나19) 진단키트 공급에 총력을 기울이고 있다. 신속진단키트를 통해 선검사를 실시하도록 방역 체계가 전환된 이후 수요가...,"Fri, 04 Feb 2022 15:34:00 +0900"
"이재명 후보 선대委, ‘젊은 한약사 특별위원회’ 조직",코로나 시국에 따라 SNS 등 주로 온라인을 통해 이 후보의 각종 정책을 홍보하고 있다. 특위는 추후 이 후보에게 한방보건의료분야 정책 제안서도 전달할 예정이다. 이주영 공동위원장은 “한방과 양방이 균형있게...,"Fri, 04 Feb 2022 15:34:00 +0900"
"수원시, 지정의료기관 병·의원 '신속항원검사' 진행",2월 3일부터 코로나19 진단 검사체계가 개편되면서 수원시에서는 4개구 보건소 임시선별검사소와 7개 병·의원(4일 현재)에서 '신속항원검사'를 받을 수 있다. 코로나19 진단 검사 방식 변경·시행에 따라 PCR(유전자...,"Fri, 04 Feb 2022 15:33:00 +0900"
"임창정, 병원서 노개런티 공연…의료진 격려","김지수 인턴 기자 = 가수 임창정이 코로나19로 지친 의료진을 위로하고자 따뜻한 마음을 전했다. 4일 소속사 제이지엔터테인먼트 측은 ""임창정이 이날 낮 12시 30분 인제대학교 서울백병원에서 코로나19 여파로 고생하는...","Fri, 04 Feb 2022 15:33:00 +0900"
보성군 조성면 새마을부녀회 이웃돕기 성금 기탁,"조성면 새마을부녀회 신주아 회장은 “코로나19로 어려운 시기에 복지 사각지대에 있는 조성면 저소득 가구에 조금이나마 도움을 줄 수 있다는 것이 기쁘며, 앞으로도 여러 봉사활동을 통해 자금을 마련해 매년 후원금을...","Fri, 04 Feb 2022 15:33:00 +0900"
"이재명, ‘추경 증액 반대’ 홍남기에 “책임 물어야할 심각한 발언”",정부는 지난달 27일 신종 코로나바이러스 감염증(코로나19) 소상공인·자영업자의 피해 지원과 의료체계 지원을 위한 14조 원 규모의 추경안을 국회에 제출했다. 하지만 여야는 정부안보다 2~3배 증액해야 한다고 주장하는...,"Fri, 04 Feb 2022 15:33:00 +0900"
