title,description,pubDate
경북 오전9시 기준 사전투표율 현재 2.54%…전국 4번째 높아,"코로나19 확진자 및 격리자는 사전투표 2일차인 오는 5일 투표가 가능하다. 본인의 주민등록증, 여권... 사전투표율은 코로나19 확산으로 인한 분산투표 경향 확대 등의 여파로 사상 최고치를 경신할 것으로...","Fri, 04 Mar 2022 10:00:00 +0900"
코로나19 신규 확진자 26만6853명…사망자 186명으로 급증,"4일 신종 코로나바이러스 감염증(코로나19) 확진자가 26만6853명 발생했다. 위중증 환자는 31명 증가한 797명, 사망자는 186명으로 집계됐다. 사진=뉴시스 ［월요신문=승동엽 기자］4일 신종...","Fri, 04 Mar 2022 10:00:00 +0900"
신규확진 하루새 약 7만명 늘어 26만명대…사망 186명 역대최다(종합),"26만6853명, 위중증 797명…중증병상 가동률 50.5% 내일부터 식당·카페 등 오후 11시까지 영업시간 연장 오미크론 변이가 빠른 속도로 확산하면서 4일 코로나19 신규 확진자는 26만명대로 폭증해 국내 코로나19...","Fri, 04 Mar 2022 10:00:00 +0900"
"'역대 최다' 26만6853명 신규 확진, 하루새 7만명↑… 위중증 700명대 (상보)",4일 발표된 신종 코로나바이러스 감염증(코로나19) 일일 신규 확진자가 26만6853명을 기록했다. 역대 최다 확진자 숫자다. 전날 19만8803명보다 7만50명 증가했다. 질병관리청 중앙방역대책본부...,"Fri, 04 Mar 2022 09:59:00 +0900"
"""투표장 내 인증샷 될까요?""…사전투표 때 알고가야 할 3가지","③확진, 격리자는 5일 오후에, PCR 검사 대기자는 '아무때나' 코로나19 확진자 및 격리자는 사전투표 두 번째 날인 5일에만 투표할 수 있다. 오후 5시부터 외출할 수 있고, 오후 6시 전에는 꼭 사전투표소에 도착해야 한다....","Fri, 04 Mar 2022 09:59:00 +0900"
[사전투표] 장병들도 소중한 한 표 행사,코로나19 확진자와 격리자의 경우에는 오는 5일 방역 당국의 외출 허용 시각인 오후 5시부터 오후 6시 전까지 사전투표소에 도착하면 일반 선거인과 동선이 분리된 임시 기표소에서 투표할 수 있다. 2022.3.4,"Fri, 04 Mar 2022 09:59:00 +0900"
[사전투표] 소중한 한 표 행사,코로나19 확진자와 격리자의 경우에는 오는 5일 방역 당국의 외출 허용 시각인 오후 5시부터 오후 6시 전까지 사전투표소에 도착하면 일반 선거인과 동선이 분리된 임시 기표소에서 투표할 수 있다. 2022.3.4,"Fri, 04 Mar 2022 09:59:00 +0900"
[머니S포토] '서울역 사전투표소',코로나19 확진자와 격리자의 경우에는 오는 5일 방역 당국의 외출 허용 시각인 오후 5시부터 오후 6시 전까지 사전투표소에 도착하면 일반 선거인과 동선이 분리된 임시 기표소에서 투표할 수 있다.,"Fri, 04 Mar 2022 09:59:00 +0900"
[사전투표] 페이스실드 착용한 투표사무원들,코로나19 확진자와 격리자의 경우에는 오는 5일 방역 당국의 외출 허용 시각인 오후 5시부터 오후 6시 전까지 사전투표소에 도착하면 일반 선거인과 동선이 분리된 임시 기표소에서 투표할 수 있다. 2022.3.4,"Fri, 04 Mar 2022 09:59:00 +0900"
"BN그룹, ‘제56회 납세자의 날’ 산업포장 수상","유 대표이사의 산업포장 수상은 선박용 내장재의 세계적 경쟁력을 갖춘 기업 경영과 투명한 경영을 통해 납세실적이 우수하고, 코로나19 등 대외상황이 어려움에도 고용창출 및 적극적인 사회공헌활동으로 지역사회...","Fri, 04 Mar 2022 09:58:00 +0900"
