경기날짜,팀1이름,팀2이름,팀1점수,팀2점수
20080329,롯데,한화,11,1
20080329,LG,SK,4,5
20080329,KIA,삼성,3,4
20080330,롯데,한화,9,8
20080330,넥센,두산,1,4
20080330,KIA,삼성,0,3
20080330,LG,SK,3,1
20080401,SK,롯데,4,8
20080401,두산,KIA,3,0
20080401,한화,넥센,5,6
20080401,삼성,LG,6,2
20080402,삼성,LG,5,4
20080402,SK,롯데,2,6
20080402,두산,KIA,2,6
20080402,한화,넥센,4,5
20080403,삼성,LG,7,2
20080403,SK,롯데,5,0
20080403,두산,KIA,3,6
20080403,한화,넥센,2,5
20080404,넥센,삼성,3,1
20080404,두산,SK,2,6
20080404,롯데,LG,6,4
20080404,KIA,한화,1,4
20080405,넥센,삼성,6,5
20080405,두산,SK,1,5
20080405,롯데,LG,3,5
20080405,KIA,한화,9,4
20080406,넥센,삼성,2,7
20080406,두산,SK,1,4
20080406,롯데,LG,7,0
20080406,KIA,한화,0,4
20080408,SK,KIA,2,1
20080408,롯데,삼성,9,5
20080408,LG,넥센,9,4
20080408,한화,두산,4,3
20080409,LG,넥센,3,7
20080409,한화,두산,1,5
20080410,SK,KIA,4,1
20080410,롯데,삼성,0,2
20080410,LG,넥센,1,6
20080410,한화,두산,6,8
20080411,삼성,한화,8,6
20080411,SK,넥센,6,4
20080411,LG,두산,3,8
20080411,KIA,롯데,3,7
20080412,삼성,한화,3,6
20080412,SK,넥센,10,12
20080412,LG,두산,6,5
20080412,KIA,롯데,4,8
20080413,삼성,한화,4,2
20080413,SK,넥센,3,2
20080413,LG,두산,5,2
20080413,KIA,롯데,3,4
20080415,넥센,한화,4,5
20080415,삼성,SK,1,4
20080415,두산,롯데,10,4
20080415,KIA,LG,9,10
20080416,넥센,한화,1,8
20080416,삼성,SK,6,7
20080416,KIA,LG,1,0
20080417,넥센,한화,4,5
20080417,삼성,SK,1,2
20080417,KIA,LG,3,6
20080418,SK,두산,6,3
20080418,롯데,넥센,9,2
20080418,LG,삼성,2,7
20080418,한화,KIA,6,1
20080419,SK,두산,5,6
20080419,롯데,넥센,5,2
20080419,LG,삼성,4,1
20080419,한화,KIA,7,10
20080420,SK,두산,11,2
20080420,롯데,넥센,4,12
20080420,LG,삼성,7,3
20080420,한화,KIA,7,3
20080422,넥센,KIA,3,4
20080422,두산,삼성,7,6
20080422,한화,LG,4,3
20080423,넥센,KIA,7,0
20080423,두산,삼성,7,0
20080423,롯데,SK,2,5
20080423,한화,LG,8,4
20080424,넥센,KIA,6,7
20080424,두산,삼성,3,7
20080424,롯데,SK,1,2
20080424,한화,LG,13,1
20080425,넥센,LG,3,4
20080425,삼성,롯데,3,4
20080425,두산,한화,4,3
20080425,KIA,SK,7,9
20080426,넥센,LG,1,0
20080426,삼성,롯데,4,3
20080426,두산,한화,2,3
20080426,KIA,SK,1,4
20080427,삼성,롯데,17,3
20080427,넥센,LG,7,8
20080427,두산,한화,3,4
20080427,KIA,SK,3,4
20080429,넥센,삼성,5,6
20080429,SK,한화,8,4
20080429,LG,롯데,0,8
20080429,KIA,두산,6,2
20080430,넥센,삼성,4,3
20080430,SK,한화,2,6
20080430,LG,롯데,4,3
20080430,KIA,두산,6,7
20080501,넥센,삼성,2,0
20080501,SK,한화,6,4
20080501,LG,롯데,5,8
20080501,KIA,두산,1,5
20080503,두산,LG,16,4
20080503,넥센,SK,0,2
20080503,롯데,KIA,2,4
20080503,한화,삼성,5,13
20080504,한화,삼성,2,4
20080504,넥센,SK,6,1
20080504,두산,LG,8,3
20080505,두산,LG,4,2
20080505,넥센,SK,3,1
20080505,롯데,KIA,6,3
20080505,한화,삼성,8,1
20080506,삼성,KIA,6,4
20080506,SK,LG,7,5
20080506,두산,넥센,11,5
20080506,한화,롯데,4,3
20080507,삼성,KIA,1,6
20080507,SK,LG,7,0
20080507,두산,넥센,6,4
20080507,한화,롯데,6,3
20080508,삼성,KIA,0,3
20080508,SK,LG,6,4
20080508,두산,넥센,5,4
20080508,한화,롯데,5,3
20080509,SK,삼성,8,5
20080509,롯데,두산,9,2
20080509,LG,한화,5,11
20080509,KIA,넥센,12,1
20080510,SK,삼성,4,7
20080510,롯데,두산,5,3
20080510,LG,한화,6,7
20080510,KIA,넥센,4,1
20080511,SK,삼성,10,7
20080511,LG,한화,6,1
20080511,롯데,두산,1,4
20080511,KIA,넥센,3,1
20080513,넥센,LG,5,2
20080513,삼성,롯데,1,4
20080513,두산,SK,5,3
20080513,KIA,한화,0,1
20080514,넥센,LG,4,0
20080514,삼성,롯데,5,3
20080514,두산,SK,8,3
20080514,KIA,한화,10,4
20080515,넥센,LG,4,6
20080515,삼성,롯데,4,3
20080515,두산,SK,5,1
20080515,KIA,한화,6,5
20080516,넥센,롯데,7,6
20080516,삼성,두산,8,3
20080516,LG,KIA,4,6
20080516,한화,SK,3,7
20080517,넥센,롯데,2,9
20080517,삼성,두산,4,11
20080517,LG,KIA,5,0
20080517,한화,SK,5,4
20080518,넥센,롯데,2,1
20080518,LG,KIA,11,2
20080520,SK,넥센,10,9
20080520,롯데,KIA,2,3
20080520,LG,삼성,1,0
20080520,한화,두산,5,2
20080521,SK,넥센,7,3
20080521,롯데,KIA,6,5
20080521,LG,삼성,3,5
20080521,한화,두산,2,6
20080522,SK,넥센,6,1
20080522,롯데,KIA,6,2
20080522,LG,삼성,6,3
20080522,한화,두산,3,4
20080523,삼성,한화,12,5
20080523,롯데,SK,9,3
20080523,KIA,LG,2,4
20080524,삼성,한화,11,4
20080524,롯데,SK,7,3
20080524,KIA,LG,15,13
20080525,삼성,한화,1,5
20080525,두산,넥센,6,5
20080525,롯데,SK,7,5
20080525,KIA,LG,13,2
20080527,삼성,넥센,15,4
20080527,SK,KIA,9,5
20080527,두산,LG,8,5
20080527,한화,롯데,7,8
20080528,삼성,넥센,4,1
20080528,두산,LG,5,7
20080529,삼성,넥센,7,2
20080529,SK,KIA,7,2
20080529,두산,LG,8,3
20080529,한화,롯데,4,1
20080530,SK,삼성,6,7
20080530,롯데,넥센,4,8
20080530,LG,한화,6,8
20080530,KIA,두산,10,3
20080531,SK,삼성,0,3
20080531,롯데,넥센,11,2
20080531,LG,한화,11,7
20080531,KIA,두산,8,3
20080601,LG,한화,8,2
20080601,SK,삼성,18,0
20080601,롯데,넥센,8,3
20080601,KIA,두산,6,2
20080603,삼성,LG,1,7
20080603,두산,롯데,1,2
20080603,한화,KIA,4,1
20080604,한화,KIA,1,6
20080605,넥센,SK,2,5
20080605,삼성,LG,4,3
20080605,두산,롯데,1,2
20080605,한화,KIA,3,7
20080606,SK,롯데,5,2
20080606,넥센,한화,0,1
20080606,삼성,KIA,3,5
20080606,LG,두산,2,10
20080607,SK,롯데,2,0
20080607,넥센,한화,2,6
20080607,삼성,KIA,4,1
20080607,LG,두산,3,4
20080608,삼성,KIA,0,4
20080608,SK,롯데,3,1
20080610,롯데,두산,2,5
20080610,LG,SK,3,4
20080610,KIA,넥센,2,10
20080610,한화,삼성,10,1
20080611,롯데,두산,4,5
20080611,LG,SK,1,6
20080611,KIA,넥센,4,0
20080611,한화,삼성,13,8
20080612,롯데,두산,4,9
20080612,LG,SK,5,19
20080612,KIA,넥센,1,2
20080612,한화,삼성,9,2
20080613,넥센,롯데,2,3
20080613,두산,삼성,3,6
20080613,KIA,SK,6,14
20080613,한화,LG,3,8
20080614,두산,삼성,14,3
20080614,넥센,롯데,2,8
20080614,KIA,SK,8,2
20080614,한화,LG,14,4
20080615,넥센,롯데,3,6
20080615,두산,삼성,1,9
20080615,KIA,SK,1,10
20080615,한화,LG,7,4
20080617,삼성,넥센,6,9
20080617,SK,두산,11,0
20080617,롯데,한화,9,4
20080617,LG,KIA,1,7
20080619,삼성,넥센,10,11
20080619,SK,두산,0,8
20080619,롯데,한화,8,9
20080619,LG,KIA,6,8
20080620,삼성,SK,2,12
20080620,두산,KIA,10,1
20080620,롯데,LG,4,1
20080620,한화,넥센,13,2
20080621,삼성,SK,1,3
20080621,두산,KIA,7,4
20080621,롯데,LG,9,3
20080621,한화,넥센,1,2
20080622,삼성,SK,3,9
20080622,두산,KIA,6,4
20080622,롯데,LG,10,0
20080622,한화,넥센,0,7
20080624,넥센,두산,5,4
20080624,SK,롯데,9,5
20080624,LG,삼성,2,3
20080624,KIA,한화,3,5
20080625,넥센,두산,4,12
20080625,SK,롯데,3,2
20080625,LG,삼성,1,2
20080625,KIA,한화,4,5
20080626,넥센,두산,2,7
20080626,SK,롯데,3,1
20080626,LG,삼성,20,1
20080626,KIA,한화,4,1
20080627,삼성,두산,1,10
20080627,LG,넥센,0,5
20080627,KIA,롯데,6,2
20080627,한화,SK,7,9
20080628,삼성,두산,7,0
20080628,LG,넥센,3,6
20080628,한화,SK,2,0
20080629,삼성,두산,2,1
20080629,LG,넥센,1,4
20080629,KIA,롯데,4,5
20080629,한화,SK,1,2
20080701,SK,LG,2,4
20080701,두산,한화,4,6
20080701,롯데,삼성,3,7
20080702,넥센,KIA,4,3
20080702,두산,한화,8,6
20080703,넥센,KIA,2,12
20080703,SK,LG,3,4
20080703,두산,한화,5,6
20080703,롯데,삼성,11,3
20080704,넥센,두산,8,0
20080704,SK,한화,1,3
20080704,LG,롯데,0,7
20080704,KIA,삼성,11,0
20080705,SK,한화,4,7
20080705,LG,롯데,6,2
20080705,KIA,삼성,5,4
20080706,넥센,두산,2,4
20080706,SK,한화,4,3
20080706,LG,롯데,1,4
20080706,KIA,삼성,4,3
20080708,삼성,SK,9,3
20080708,롯데,넥센,2,4
20080708,LG,두산,2,3
20080708,한화,KIA,1,4
20080709,삼성,SK,0,3
20080709,롯데,넥센,4,9
20080709,LG,두산,1,5
20080709,한화,KIA,7,4
20080710,삼성,SK,6,2
20080710,롯데,넥센,1,0
20080710,LG,두산,0,4
20080710,한화,KIA,2,0
20080711,넥센,한화,4,7
20080711,삼성,LG,4,6
20080711,두산,롯데,8,3
20080711,KIA,SK,2,1
20080712,넥센,한화,11,5
20080712,삼성,LG,0,3
20080712,두산,롯데,1,0
20080713,넥센,한화,6,7
20080713,삼성,LG,0,2
20080713,두산,롯데,3,2
20080713,KIA,SK,1,3
20080715,넥센,삼성,9,3
20080715,SK,두산,7,8
20080715,LG,한화,3,5
20080715,KIA,롯데,3,2
20080716,넥센,삼성,2,6
20080716,LG,한화,4,11
20080716,KIA,롯데,4,1
20080717,넥센,삼성,6,9
20080717,SK,두산,2,6
20080717,LG,한화,7,11
20080717,KIA,롯데,2,3
20080718,SK,넥센,3,2
20080718,두산,KIA,3,4
20080718,롯데,LG,3,4
20080718,한화,삼성,0,3
20080719,두산,KIA,4,5
20080719,한화,삼성,3,4
20080720,한화,삼성,4,5
20080722,넥센,LG,4,0
20080722,삼성,KIA,1,7
20080722,두산,한화,4,5
20080722,롯데,SK,3,6
20080723,넥센,LG,5,1
20080723,삼성,KIA,6,3
20080723,롯데,SK,6,7
20080724,삼성,KIA,13,2
20080724,두산,한화,3,6
20080725,한화,롯데,1,5
20080726,한화,롯데,5,3
20080727,삼성,두산,5,4
20080727,LG,SK,0,11
20080727,KIA,넥센,8,2
20080727,한화,롯데,2,9
20080729,SK,삼성,3,6
20080729,롯데,두산,4,3
20080729,LG,KIA,0,5
20080729,한화,넥센,10,6
20080730,롯데,두산,9,3
20080730,LG,KIA,5,1
20080730,한화,넥센,2,6
20080731,SK,삼성,4,8
20080731,롯데,두산,9,6
20080731,LG,KIA,0,5
20080731,한화,넥센,4,2
20080826,삼성,넥센,5,2
20080826,두산,SK,3,4
20080826,롯데,한화,11,4
20080826,KIA,LG,2,4
20080827,삼성,넥센,4,2
20080827,두산,SK,12,3
20080827,롯데,한화,7,3
20080827,KIA,LG,0,3
20080828,삼성,넥센,5,3
20080828,두산,SK,4,9
20080828,롯데,한화,11,4
20080828,KIA,LG,8,0
20080829,넥센,KIA,1,3
20080829,삼성,롯데,4,7
20080829,SK,한화,4,2
20080829,두산,LG,6,3
20080830,넥센,KIA,1,2
20080830,삼성,롯데,2,5
20080830,SK,한화,2,7
20080830,두산,LG,6,5
20080831,넥센,KIA,5,0
20080831,삼성,롯데,5,7
20080831,SK,한화,16,2
20080831,두산,LG,4,7
20080902,넥센,SK,2,4
20080902,LG,롯데,3,8
20080902,KIA,삼성,3,7
20080902,한화,두산,1,6
20080903,넥센,SK,0,8
20080903,LG,롯데,3,2
20080903,KIA,삼성,4,3
20080903,한화,두산,0,1
20080904,넥센,SK,1,5
20080904,LG,롯데,9,11
20080904,KIA,삼성,5,6
20080904,한화,두산,5,6
20080905,삼성,한화,1,3
20080905,SK,LG,4,3
20080905,두산,넥센,5,12
20080905,롯데,KIA,7,1
20080906,삼성,한화,5,3
20080906,SK,LG,6,1
20080906,두산,넥센,9,3
20080906,롯데,KIA,10,2
20080907,삼성,한화,2,1
20080907,SK,LG,5,6
20080907,두산,넥센,5,3
20080907,롯데,KIA,5,2
20080909,넥센,롯데,3,4
20080909,SK,KIA,8,0
20080909,두산,삼성,0,2
20080909,한화,LG,0,2
20080910,넥센,롯데,2,3
20080910,SK,KIA,5,7
20080910,두산,삼성,12,3
20080910,한화,LG,0,1
20080911,넥센,롯데,4,5
20080911,SK,KIA,3,1
20080911,두산,삼성,1,3
20080911,한화,LG,5,1
20080912,롯데,삼성,3,6
20080912,LG,넥센,1,2
20080912,KIA,두산,3,8
20080912,한화,SK,3,4
20080913,롯데,삼성,6,5
20080913,LG,넥센,5,3
20080913,KIA,두산,3,8
20080913,한화,SK,5,2
20080914,롯데,삼성,9,1
20080914,LG,넥센,9,0
20080914,KIA,두산,2,12
20080914,한화,SK,1,2
20080916,SK,두산,5,4
20080916,롯데,한화,9,6
20080916,KIA,넥센,0,7
20080917,SK,두산,5,2
20080917,롯데,한화,4,7
20080917,KIA,넥센,4,2
20080918,SK,LG,8,4
20080918,KIA,삼성,2,14
20080919,넥센,SK,2,3
20080919,두산,롯데,6,5
20080920,두산,롯데,8,2
20080921,두산,롯데,11,2
20080921,삼성,LG,5,3
20080921,KIA,SK,1,2
20080923,넥센,두산,5,12
20080923,롯데,KIA,8,9
20080923,한화,SK,4,3
20080924,넥센,두산,4,2
20080924,롯데,삼성,5,8
20080924,LG,SK,1,2
20080925,넥센,두산,5,2
20080925,롯데,삼성,4,1
20080925,LG,SK,3,4
20080926,넥센,KIA,5,4
20080926,삼성,두산,0,1
20080926,LG,SK,3,1
20080927,삼성,두산,0,5
20080927,SK,넥센,8,4
20080927,LG,KIA,0,1
20080927,한화,롯데,3,4
20080928,삼성,두산,10,9
20080928,SK,넥센,3,4
20080928,KIA,롯데,2,4
20080930,넥센,LG,1,2
20080930,두산,한화,2,7
20080930,롯데,SK,2,3
20081001,삼성,넥센,1,2
20081001,롯데,SK,1,7
20081001,LG,두산,7,2
20081002,SK,KIA,2,3
20081002,두산,넥센,16,3
20081003,SK,KIA,5,2
20081003,두산,넥센,2,8
20081003,롯데,LG,9,3
20081004,넥센,한화,3,5
20081004,SK,삼성,3,6
20081004,두산,KIA,2,8
20081004,롯데,LG,0,4
20081005,넥센,SK,8,4
20081008,삼성,롯데,12,3
20081016,삼성,두산,4,8
20081017,삼성,두산,7,4
20081019,두산,삼성,2,6
20081020,두산,삼성,12,6
20081021,두산,삼성,6,4
20081023,삼성,두산,2,5
20081026,두산,SK,5,2
20081027,두산,SK,2,5
20081029,SK,두산,3,2
20081030,SK,두산,4,1
20081031,SK,두산,2,0
20090404,한화,SK,8,2
20090404,키움,롯데,2,3
20090404,LG,삼성,2,6
20090404,KIA,두산,5,7
20090405,키움,롯데,10,1
20090405,LG,삼성,3,5
20090405,KIA,두산,1,3
20090405,한화,SK,2,5
20090407,삼성,키움,8,10
20090407,SK,KIA,4,3
20090407,두산,한화,7,7
20090407,롯데,LG,1,3
20090408,삼성,키움,1,5
20090408,SK,KIA,4,6
20090408,두산,한화,2,3
20090408,롯데,LG,3,0
20090409,삼성,키움,5,9
20090409,SK,KIA,2,2
20090409,두산,한화,11,2
20090409,롯데,LG,3,6
20090410,삼성,KIA,5,2
20090410,SK,키움,16,4
20090410,두산,LG,5,8
20090410,롯데,한화,3,8
20090411,삼성,KIA,2,1
20090411,SK,키움,10,3
20090411,두산,LG,13,5
20090411,롯데,한화,6,10
20090412,롯데,한화,7,4
20090412,삼성,KIA,0,1
20090412,SK,키움,5,4
20090412,두산,LG,4,3
20090414,키움,두산,2,1
20090414,LG,SK,7,3
20090414,KIA,롯데,4,0
20090414,한화,삼성,7,5
20090415,LG,SK,4,4
20090415,KIA,롯데,0,1
20090416,키움,두산,1,0
20090416,LG,SK,6,5
20090416,KIA,롯데,3,2
20090416,한화,삼성,2,8
20090417,SK,한화,10,9
20090417,두산,삼성,13,4
20090417,롯데,키움,13,8
20090417,KIA,LG,14,0
20090418,SK,한화,9,4
20090418,두산,삼성,3,12
20090418,롯데,키움,5,0
20090418,KIA,LG,2,7
20090419,두산,삼성,4,5
20090419,SK,한화,8,2
20090419,롯데,키움,2,6
20090419,KIA,LG,9,2
20090421,삼성,LG,5,3
20090421,두산,KIA,9,5
20090421,롯데,SK,1,9
20090421,한화,키움,8,4
20090422,삼성,LG,4,6
20090422,두산,KIA,6,4
20090422,롯데,SK,1,13
20090422,한화,키움,11,1
20090423,삼성,LG,4,1
20090423,두산,KIA,3,0
20090423,롯데,SK,2,8
20090423,한화,키움,7,6
20090424,LG,롯데,7,6
20090424,KIA,삼성,5,6
20090425,키움,SK,1,7
20090425,LG,롯데,10,9
20090425,KIA,삼성,2,1
20090426,LG,롯데,3,5
20090426,키움,SK,3,4
20090426,KIA,삼성,10,2
20090426,한화,두산,2,6
20090427,키움,SK,7,4
20090428,키움,삼성,1,4
20090428,SK,두산,2,15
20090428,롯데,KIA,0,2
20090428,LG,한화,5,11
20090429,키움,삼성,3,2
20090429,SK,두산,6,6
20090429,롯데,KIA,7,2
20090429,LG,한화,4,3
20090430,키움,삼성,8,1
20090430,SK,두산,8,3
20090430,롯데,KIA,5,11
20090430,LG,한화,9,19
20090501,키움,LG,5,9
20090501,삼성,SK,0,2
20090501,두산,롯데,11,5
20090501,한화,KIA,4,4
20090502,키움,LG,2,6
20090502,삼성,SK,5,4
20090502,두산,롯데,7,2
20090502,한화,KIA,5,7
20090503,두산,롯데,2,4
20090503,키움,LG,4,7
20090503,삼성,SK,3,4
20090503,한화,KIA,9,6
20090505,삼성,한화,4,2
20090505,SK,롯데,4,0
20090505,LG,두산,12,0
20090505,KIA,키움,6,7
20090506,삼성,한화,8,5
20090506,SK,롯데,6,3
20090506,LG,두산,3,1
20090506,KIA,키움,6,5
20090507,삼성,한화,6,5
20090507,SK,롯데,3,4
20090507,LG,두산,7,1
20090507,KIA,키움,10,3
20090508,키움,SK,4,4
20090508,롯데,KIA,3,4
20090508,LG,삼성,11,3
20090508,한화,두산,2,6
20090509,키움,SK,3,7
20090509,롯데,KIA,5,4
20090509,LG,삼성,5,1
20090509,한화,두산,3,4
20090510,LG,삼성,1,3
20090510,키움,SK,2,8
20090510,롯데,KIA,1,2
20090510,한화,두산,0,4
20090512,삼성,롯데,5,8
20090512,SK,LG,16,10
20090512,두산,키움,3,1
20090512,KIA,한화,1,10
20090513,삼성,롯데,5,6
20090513,SK,LG,2,1
20090513,두산,키움,11,4
20090513,KIA,한화,10,8
20090514,삼성,롯데,6,8
20090514,SK,LG,8,4
20090514,두산,키움,11,4
20090514,KIA,한화,14,3
20090515,삼성,두산,3,5
20090515,LG,키움,22,17
20090515,KIA,SK,5,2
20090515,한화,롯데,1,7
20090517,삼성,두산,8,6
20090517,LG,키움,11,5
20090517,KIA,SK,3,4
20090517,한화,롯데,12,8
20090517,KIA,SK,4,1
20090517,한화,롯데,3,1
20090517,LG,키움,5,6
20090517,삼성,두산,7,8
20090519,키움,한화,2,4
20090519,SK,삼성,3,2
20090519,롯데,두산,3,11
20090519,LG,KIA,0,6
20090520,키움,한화,7,6
20090520,SK,삼성,10,0
20090520,롯데,두산,11,6
20090520,LG,KIA,2,4
20090521,SK,삼성,9,4
20090521,LG,KIA,13,13
20090522,키움,KIA,8,3
20090522,두산,SK,4,2
20090522,롯데,삼성,3,4
20090522,한화,LG,4,10
20090523,키움,KIA,13,4
20090523,두산,SK,2,1
20090523,롯데,삼성,5,8
20090523,한화,LG,6,5
20090524,롯데,삼성,7,4
20090524,키움,KIA,1,8
20090524,두산,SK,5,2
20090524,한화,LG,1,1
20090526,키움,두산,5,4
20090526,삼성,한화,3,2
20090526,LG,롯데,0,6
20090526,KIA,SK,2,3
20090527,키움,두산,7,2
20090527,삼성,한화,3,8
20090527,LG,롯데,5,6
20090527,KIA,SK,5,2
20090528,키움,두산,4,0
20090528,삼성,한화,11,1
20090528,LG,롯데,13,3
20090528,KIA,SK,1,7
20090529,SK,삼성,4,5
20090529,두산,한화,3,1
20090529,롯데,키움,5,7
20090529,KIA,LG,12,5
20090530,SK,삼성,3,8
20090530,두산,한화,8,7
20090530,롯데,키움,8,10
20090530,KIA,LG,5,1
20090531,SK,삼성,6,5
20090531,두산,한화,2,0
20090531,롯데,키움,3,7
20090531,KIA,LG,7,5
20090602,키움,삼성,2,9
20090602,두산,KIA,9,3
20090602,롯데,SK,2,3
20090602,한화,LG,11,10
20090603,키움,삼성,2,10
20090603,두산,KIA,2,5
20090603,롯데,SK,1,2
20090603,한화,LG,11,10
20090604,키움,삼성,5,6
20090604,두산,KIA,5,4
20090604,롯데,SK,9,4
20090604,한화,LG,4,0
20090605,삼성,KIA,1,3
20090605,SK,한화,3,4
20090605,롯데,두산,7,8
20090605,LG,키움,8,7
20090606,삼성,KIA,1,2
20090606,SK,한화,14,5
20090606,롯데,두산,8,0
20090606,LG,키움,4,11
20090607,삼성,KIA,3,4
20090607,SK,한화,5,4
20090607,롯데,두산,1,0
20090607,LG,키움,1,7
20090609,삼성,SK,5,3
20090609,LG,두산,0,4
20090609,한화,롯데,3,9
20090610,삼성,SK,5,7
20090610,LG,두산,8,0
20090610,KIA,키움,2,4
20090610,한화,롯데,0,5
20090611,삼성,SK,5,3
20090611,LG,두산,3,4
20090611,KIA,키움,9,6
20090611,한화,롯데,6,12
20090612,키움,롯데,9,13
20090612,SK,LG,7,6
20090612,두산,삼성,15,3
20090612,한화,KIA,6,16
20090613,키움,롯데,7,0
20090613,SK,LG,2,3
20090613,두산,삼성,17,5
20090613,한화,KIA,8,3
20090614,키움,롯데,15,5
20090614,SK,LG,3,5
20090614,두산,삼성,5,1
20090614,한화,KIA,2,5
20090616,SK,키움,3,6
20090616,롯데,삼성,2,10
20090616,LG,한화,6,3
20090616,KIA,두산,2,1
20090617,SK,키움,6,5
20090617,롯데,삼성,1,0
20090617,LG,한화,4,12
20090617,KIA,두산,4,5
20090618,SK,키움,1,6
20090618,롯데,삼성,9,6
20090618,LG,한화,12,6
20090618,KIA,두산,4,2
20090619,삼성,LG,4,5
20090619,두산,SK,4,8
20090619,KIA,롯데,3,6
20090619,한화,키움,4,1
20090620,KIA,롯데,1,7
20090621,삼성,LG,5,6
20090621,두산,SK,3,8
20090621,한화,키움,5,8
20090621,KIA,롯데,7,4
20090621,두산,SK,11,2
20090621,한화,키움,6,9
20090621,삼성,LG,1,8
20090623,키움,LG,11,8
20090623,SK,KIA,11,1
20090623,두산,롯데,3,7
20090623,한화,삼성,2,3
20090624,키움,LG,2,6
20090624,SK,KIA,3,3
20090624,두산,롯데,5,4
20090624,한화,삼성,7,9
20090625,키움,LG,2,1
20090625,SK,KIA,5,6
20090625,두산,롯데,1,4
20090625,한화,삼성,5,10
20090626,키움,KIA,3,0
20090626,삼성,두산,4,5
20090626,롯데,한화,6,4
20090626,LG,SK,3,6
20090627,키움,KIA,10,2
20090627,삼성,두산,12,7
20090627,롯데,한화,4,3
20090627,LG,SK,1,3
20090628,키움,KIA,1,5
20090628,삼성,두산,6,2
20090628,롯데,한화,2,0
20090628,LG,SK,2,8
20090630,두산,키움,4,3
20090630,롯데,LG,5,6
20090630,한화,SK,2,4
20090701,두산,키움,7,12
20090701,롯데,LG,6,4
20090701,KIA,삼성,4,5
20090701,한화,SK,2,10
20090702,두산,키움,2,3
20090702,롯데,LG,4,3
20090702,KIA,삼성,14,9
20090702,한화,SK,3,11
20090703,키움,삼성,3,10
20090703,SK,롯데,7,5
20090703,두산,LG,1,10
20090703,KIA,한화,9,1
20090704,SK,롯데,0,1
20090704,두산,LG,4,11
20090704,KIA,한화,4,5
20090705,키움,삼성,3,4
20090705,SK,롯데,2,3
20090705,두산,LG,4,5
20090705,KIA,한화,3,14
20090707,키움,한화,12,10
20090707,SK,두산,2,4
20090708,키움,한화,4,7
20090708,삼성,롯데,3,2
20090708,SK,두산,3,8
20090708,LG,KIA,3,6
20090709,삼성,롯데,3,0
20090710,삼성,SK,7,2
20090710,두산,KIA,2,3
20090710,롯데,키움,3,0
20090710,한화,LG,4,5
20090711,삼성,SK,5,3
20090711,롯데,키움,4,3
20090711,한화,LG,8,0
20090714,두산,삼성,14,9
20090714,한화,롯데,1,8
20090715,SK,LG,2,3
20090715,두산,삼성,3,6
20090715,KIA,키움,7,4
20090715,한화,롯데,2,7
20090716,SK,LG,10,4
20090716,두산,삼성,12,11
20090716,KIA,키움,2,6
20090716,한화,롯데,6,7
20090718,롯데,SK,5,4
20090718,LG,삼성,3,8
20090718,KIA,한화,14,4
20090719,키움,두산,8,12
20090719,롯데,SK,16,7
20090719,LG,삼성,8,10
20090719,KIA,한화,5,0
20090721,삼성,키움,8,6
20090721,롯데,두산,14,2
20090721,LG,KIA,2,1
20090721,한화,SK,11,1
20090722,삼성,키움,3,10
20090722,롯데,두산,3,10
20090722,LG,KIA,1,2
20090722,한화,SK,2,7
20090723,삼성,키움,7,5
20090723,롯데,두산,6,4
20090723,LG,KIA,0,4
20090723,한화,SK,2,5
20090728,삼성,LG,8,9
20090728,SK,키움,2,3
20090728,두산,한화,7,2
20090728,KIA,롯데,12,2
20090729,삼성,LG,5,6
20090729,SK,키움,6,4
20090729,두산,한화,3,7
20090729,KIA,롯데,3,14
20090730,삼성,LG,8,2
20090730,SK,키움,15,8
20090730,두산,한화,2,1
20090730,KIA,롯데,7,5
20090731,삼성,KIA,2,5
20090731,SK,두산,4,6
20090731,롯데,한화,7,0
20090731,LG,키움,2,3
20090801,삼성,KIA,3,7
20090801,SK,두산,1,5
20090801,롯데,한화,3,8
20090801,LG,키움,6,7
20090802,삼성,KIA,3,4
20090802,SK,두산,11,4
20090802,롯데,한화,5,3
20090802,LG,키움,2,3
20090804,키움,SK,8,9
20090804,두산,롯데,12,4
20090804,KIA,LG,12,2
20090804,한화,삼성,5,6
20090805,키움,SK,8,10
20090805,두산,롯데,12,3
20090805,KIA,LG,9,7
20090805,한화,삼성,2,13
20090806,키움,SK,3,2
20090806,두산,롯데,5,2
20090806,KIA,LG,11,6
20090806,한화,삼성,6,7
20090807,삼성,롯데,4,7
20090807,두산,LG,0,2
20090808,키움,한화,5,4
20090808,삼성,롯데,1,3
20090808,SK,KIA,6,9
20090808,두산,LG,3,0
20090809,키움,한화,10,7
20090809,삼성,롯데,6,2
20090809,SK,KIA,3,6
20090809,두산,LG,6,7
20090811,롯데,KIA,0,3
20090812,삼성,키움,9,4
20090812,롯데,KIA,0,2
20090812,LG,SK,3,6
20090812,한화,두산,5,10
20090813,삼성,키움,0,5
20090813,롯데,KIA,8,5
20090813,LG,SK,5,2
20090813,한화,두산,2,11
20090814,SK,한화,3,0
20090814,두산,키움,3,7
20090814,롯데,LG,14,11
20090814,KIA,삼성,9,2
20090815,SK,한화,5,1
20090815,두산,키움,8,5
20090815,롯데,LG,2,9
20090815,KIA,삼성,4,14
20090816,SK,한화,3,4
20090816,두산,키움,6,7
20090816,롯데,LG,5,4
20090816,KIA,삼성,10,8
20090818,키움,KIA,2,9
